id|exercise|reps|superset|work_id|week_id
1|сед тренажер|15||1|1
2|квадрицепс тренажер|12||1|1
3|приводящая тренажер|10||1|1
4|жим лежа широким хватом|12||1|1
5|отжимания от брусьев|12||1|1
6|жим гантелей лежа|15||1|1
7|грудь тренажер|8||1|1
8|пресс|||1|1
9|жим стоя со стоек|10||2|1
10|тяга к подбородку|10||2|1
11|тяга обратным хватом|15||2|1
12|подтягивания узким хвтом|12||2|1
13|широчайшая тренажер|10|1|2|1
14|широчайшая тренажер внутренний хват|8|1|2|1
15|бицепс штанга|12||2|1
16|наклоны через козла|12||2|1
17|пресс|||2|1
18|тяга сумо|15||3|1
19|наклоны средним хватом|12||3|1
20|тяга толчковая|10||3|1
21|жим лежа узким хватом|12||3|1
22|французкий жим лежа|10||3|1
23|трицепс тренажер|15|1|3|1
24|трицепс лямка|8|1|3|1
25|пресс|||3|1
26|сед|12||4|2
27|квадрицепс тренажер|10||4|2
28|внешняя тренажер|15||4|2
29|бицепс ноги тренажер|8||4|2
30|жим лежа широким хватом тренажер|10||4|2
31|отжимания от брусьев|10||4|2
32|разводка гантелей лежа|15|1|4|2
33|пулловер|12|1|4|2
34|пресс|||4|2
35|жим стоя со стоек|10||5|2
36|жим гантелей сидя|12|1|5|2
37|дельта тренажер|15|1|5|2
38|подтягивания узким хвтом|10||5|2
39|широчайшая фронтальная тренажер|12||5|2
40|широчайшая фронтально тренажер одной рукой|8||5|2
41|бицепс кривой штангой|10|1|5|2
42|наклоны через козла|10||5|2
43|пресс|||5|2
44|тяга сумо|12||6|2
45|тяга рывковая|10||6|2
46|румынская тяга|15||6|2
47|жим лежа узким хватом тренажер|10||6|2
48|французкий жим лежа внутренний хват|15||6|2
49|трицепс гантеля|12|1|6|2
50|трицепс кроссовер|10|1|6|2
51|наклоны через козла|8||6|2
52|пресс|||6|2
53|сед узкий|8||7|2
54|ножницы|10||7|2
55|жим лежа 45 тренажер|10||7|2
56|разводка гантелей 45|12|1|7|2
57|хаммер|15|1|7|2
58|бицепс гантели|8||7|2
59|бицепс кроссовер|12||7|2
60|пресс|||7|2
61|сед тренажер|10||8|3
62|приводящая тренажер|12||8|3
63|жим лежа широким хватом|8||8|3
64|жим гантелей лежа|12|1|8|3
65|грудь тренажер|10|1|8|3
66|пресс|||8|3
67|швунг|8||9|3
68|разводка гантелей в стороны|10|1|9|3
69|разводка гантелей в наклоне|12|1|9|3
70|подтягивания узким хвтом|8||9|3
71|широчайшая штанга|10|1|9|3
72|широчайшая гантеля|12|1|9|3
73|бицепс штанга|6||9|3
74|наклоны через козла|6||9|3
75|пресс|||9|3
76|наклоны через козла|12||10|3
77|тяга сумо|10||10|3
78|наклоны средним хватом|8|1|10|3
79|тяга толчковая|12|1|10|3
80|жим лежа узким хватом|8||10|3
81|трицепс лямка кроссовер верхний блок|12|1|10|3
82|трицепс кроссовер|10|1|10|3
83|пресс|||10|3
84|сед широкий тренажер|8||11|3
