id|exercise|reps|work_id|week_id
1|сед|6|1|1
2|квадрицепс тренажер|8|1|1
3|жим лежа широким хватом|5|1|1
4|жим лежа широким хватом 2сек|2|1|1
5|жим гантелей лежа|6|1|1
6|грудь тренажер|8|1|1
7|пресс||1|1
8|жим стоя со стоек|5|2|1
9|отжимания от брусьев|5|2|1
10|подтягивания узким хвтом|5|2|1
11|широчайшая тренажер|6|2|1
12|тяга к подбородку|8|2|1
13|бицепс штанга|12|2|1
14|наклоны через козла||2|1
15|тяга сумо вис|6|3|1
16|наклоны средним хватом|8|3|1
17|жим лежа узким хватом|5|3|1
18|жим лежа узким хватом 2 сек|2|3|1
19|французкий жим лежа|6|3|1
20|трицепс тренажер|8|3|1
21|пресс||3|1
22|сед узкий|3|4|1
23|приводящая тренажер|6|4|1
24|жим лежа 45 тренажер|5|4|1
25|жим лежа 45 тренажер 2сек|2|4|1
26|бицепс кривой штангой|10|4|1
27|бицепс кроссовер|6|4|1
28|пресс||4|1
29|сед|5|5|2
30|квадрицепс тренажер|6|5|2
31|жим лежа широким хватом|4|5|2
32|жим лежа широким 1 подставка|2|5|2
33|разводка гантелей лежа|6|5|2
34|пулловер|8|5|2
35|пресс||5|2
36|жим стоя со стоек|4|6|2
37|отжимания от брусьев|4|6|2
38|подтягивания узким хвтом|4|6|2
39|широчайшая тренажер внутренний хват|6|6|2
40|тяга обратным хватом|8|6|2
41|бицепс гантели|8|6|2
42|наклоны через козла|10|6|2
43|тяга сумо вис|5|7|2
44|тяга толчковая|6|7|2
45|жим лежа узким хватом|4|7|2
46|жим лежа узким хватом 1 подставка|2|7|2
47|французкий жим лежа внутренний хват|6|7|2
48|трицепс лямка|8|7|2
49|пресс||7|2
50|сед тренажер|2|8|2
51|внешняя тренажер|4|8|2
52|жим лежа 45|4|8|2
53|хаммер|6|8|2
54|наклоны стоя со штангой|8|8|2
55|бицепс штанга|6|8|2
56|бицепс кроссовер фронтально верхний блок ко лбу|10|8|2
57|сед|4|9|3
58|квадрицепс тренажер|6|9|3
59|жим лежа широким хватом|3|9|3
60|жим лежа широким хватом 2сек|1|9|3
61|жим гантелей лежа|4|9|3
62|грудь тренажер|6|9|3
63|пресс||9|3
64|жим стоя со стоек|3|10|3
65|отжимания от брусьев|3|10|3
66|подтягивания узким хвтом|3|10|3
67|широчайшая фронтальная тренажер|6|10|3
68|жим гантелей сидя|8|10|3
69|бицепс кривой штангой|21|10|3
70|наклоны через козла|8|10|3
71|тяга сумо вис|4|11|3
72|тяга рывковая|6|11|3
73|жим лежа узким хватом|3|11|3
74|жим лежа узким хватом 2 сек|1|11|3
75|французкий жим сидя|4|11|3
76|трицепс гантеля|6|11|3
77|пресс||11|3
78|сед-стоп|2|12|3
79|бицепс ноги тренажер|6|12|3
80|жим лежа 45 тренажер|3|12|3
81|жим лежа 45 тренажер 2сек|1|12|3
82|наклоны стоя со штангой|4|12|3
83|бицепс с гантелей молот|10|12|3
84|бицепс кроссовер нижний блок|6|12|3
85|сед|3|13|4
86|квадрицепс тренажер|4|13|4
87|жим лежа широким хватом|2|13|4
88|жим лежа широким хватом 2 подставка|1|13|4
89|разводка гантелей лежа|4|13|4
90|кроссовер разводка в наклоне|6|13|4
91|пресс||13|4
92|жим сидя тренажер|2|14|4
93|отжимания от брусьев|2|14|4
94|подтягивания узким хвтом|2|14|4
95|широчайшая фронтально тренажер одной рукой|4|14|4
